Client Domain ,User Phone Timezone ,Created At                  ,Email Clicks ,Email Opens ,Emails ,Expired ,Order Funnel State      ,Sms ,Sms Clicks ,Sms Opens ,Platforms Order Group - Order → Manager ,Platforms Order Group - Order → Source ,order_has_user_email ,order_has_user_phone
A             ,Unknown             ,2022-08-01T18:14:34.366618Z ,           1 ,          4 ,     4 ,      1 ,8-Submitted login       ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2023-01-09T22:15:46.749926Z ,           2 ,          2 ,     2 ,      0 ,9-Completed             ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2023-01-13T17:15:39.354315Z ,           1 ,          1 ,     1 ,      0 ,9-Completed             ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-10-06T21:07:11.621715Z ,           0 ,          4 ,     4 ,      1 ,3-Notification opened   ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-09-15T19:40:16.885419Z ,           2 ,          2 ,     2 ,      0 ,8-Submitted login       ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-10-27T15:46:26.766697Z ,           2 ,          4 ,     4 ,      1 ,6-Employer selected     ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-12-15T22:36:42.882267Z ,           0 ,          0 ,       ,      1 ,1-Created               ,    ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,FALSE                ,FALSE
A             ,Unknown             ,2023-02-16T16:06:04.65898Z  ,           0 ,          0 ,     1 ,      0 ,2-Notification sent     ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-09-07T16:13:33.461742Z ,           3 ,          3 ,     3 ,      0 ,9-Completed             ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-10-27T15:41:38.417122Z ,           1 ,          2 ,     4 ,      1 ,8-Submitted login       ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-09-19T15:36:33.376256Z ,           0 ,          4 ,     4 ,      2 ,3-Notification opened   ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2023-03-13T16:52:31.011789Z ,           0 ,          1 ,     4 ,      1 ,3-Notification opened   ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-12-06T15:42:21.82484Z  ,           0 ,          1 ,     4 ,      1 ,3-Notification opened   ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-11-11T15:21:20.313732Z ,           1 ,          1 ,     1 ,      0 ,9-Completed             ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-08-29T13:45:30.374606Z ,           0 ,          4 ,     4 ,      1 ,3-Notification opened   ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-12-28T21:14:26.707105Z ,           0 ,          0 ,       ,      1 ,1-Created               ,    ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,FALSE                ,FALSE
A             ,Unknown             ,2023-03-10T17:57:27.934214Z ,           0 ,          0 ,     4 ,      1 ,2-Notification sent     ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-10-11T14:33:22.121548Z ,           0 ,          0 ,     1 ,      0 ,2-Notification sent     ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2023-03-07T20:23:42.25897Z  ,           0 ,          4 ,     4 ,      1 ,3-Notification opened   ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-12-16T14:30:32.075305Z ,           0 ,          0 ,       ,      0 ,1-Created               ,    ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,FALSE                ,FALSE
A             ,Unknown             ,2023-03-22T16:15:27.354763Z ,           2 ,          4 ,     4 ,      1 ,5-Widget loaded         ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-12-29T19:28:07.381734Z ,           1 ,          4 ,     4 ,      2 ,8-Submitted login       ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-11-07T15:55:08.074563Z ,           1 ,          1 ,     1 ,      0 ,8-Submitted login       ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-08-26T13:32:06.368067Z ,           2 ,          3 ,     3 ,      0 ,9-Completed             ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-12-21T16:18:08.284721Z ,           0 ,          0 ,     1 ,      0 ,2-Notification sent     ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-11-23T16:10:19.104391Z ,           0 ,          0 ,     4 ,      1 ,2-Notification sent     ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2023-02-02T14:10:56.819418Z ,           0 ,          0 ,     4 ,      1 ,2-Notification sent     ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-09-07T13:21:56.757823Z ,           1 ,          1 ,     1 ,      0 ,8-Submitted login       ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2023-02-16T15:34:03.933175Z ,           1 ,          2 ,     2 ,      0 ,9-Completed             ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-10-10T21:23:46.26278Z  ,           1 ,          1 ,     1 ,      0 ,9-Completed             ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-08-01T18:10:50.425436Z ,           1 ,          1 ,     1 ,      0 ,9-Completed             ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-09-22T16:27:19.016027Z ,           0 ,          0 ,     1 ,      0 ,2-Notification sent     ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2023-03-03T21:59:05.431198Z ,           1 ,          1 ,     1 ,      0 ,9-Completed             ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-10-24T21:29:28.500167Z ,           0 ,          0 ,     4 ,      1 ,2-Notification sent     ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2023-02-27T21:04:11.937283Z ,           1 ,          1 ,     1 ,      0 ,9-Completed             ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-12-01T16:15:49.179164Z ,           0 ,          0 ,     4 ,      1 ,2-Notification sent     ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-11-01T14:44:30.664205Z ,           3 ,          4 ,     4 ,      1 ,6-Employer selected     ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-12-27T20:47:36.466487Z ,           0 ,          0 ,     1 ,      0 ,2-Notification sent     ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-09-20T16:02:13.054375Z ,           2 ,          2 ,     2 ,      0 ,9-Completed             ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-08-17T18:17:13.964764Z ,           0 ,          0 ,     4 ,      1 ,2-Notification sent     ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-08-31T20:49:20.235025Z ,           0 ,          0 ,     1 ,      0 ,2-Notification sent     ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-11-04T21:30:55.941235Z ,           2 ,          4 ,     4 ,      1 ,6-Employer selected     ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-08-12T17:03:09.257631Z ,           2 ,          4 ,     4 ,      1 ,8-Submitted login       ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-08-26T19:52:23.344818Z ,           0 ,          4 ,     4 ,      1 ,3-Notification opened   ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-11-11T16:35:29.767154Z ,           0 ,          0 ,     1 ,      0 ,2-Notification sent     ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-08-25T17:13:42.257129Z ,           0 ,          2 ,     4 ,      1 ,3-Notification opened   ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-09-19T21:14:10.020574Z ,           1 ,          1 ,     1 ,      0 ,8-Submitted login       ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-09-12T15:07:55.992912Z ,           1 ,          1 ,     1 ,      0 ,9-Completed             ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-08-12T17:04:06.827517Z ,           1 ,          1 ,     1 ,      0 ,9-Completed             ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-09-21T15:11:04.608247Z ,           2 ,          4 ,     4 ,      1 ,7-Viewed provider login ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2023-03-27T17:55:35.118502Z ,           0 ,          0 ,     4 ,      1 ,2-Notification sent     ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-11-11T16:25:12.409413Z ,           0 ,          0 ,     1 ,      0 ,2-Notification sent     ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-08-04T17:00:42.388418Z ,           0 ,          4 ,     4 ,      1 ,3-Notification opened   ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-08-16T20:13:05.100595Z ,           0 ,          0 ,     1 ,      0 ,2-Notification sent     ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-09-21T20:36:46.103271Z ,           1 ,          1 ,     1 ,      0 ,9-Completed             ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-12-05T20:43:50.786631Z ,           1 ,          1 ,     1 ,      0 ,9-Completed             ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-09-06T16:57:11.223886Z ,           1 ,          1 ,     1 ,      1 ,9-Completed             ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2023-03-10T18:04:50.076483Z ,           2 ,          4 ,     4 ,      1 ,8-Submitted login       ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2023-03-13T16:48:52.309446Z ,           0 ,          1 ,     4 ,      1 ,3-Notification opened   ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2023-03-22T19:52:45.370913Z ,           1 ,          1 ,     1 ,      0 ,8-Submitted login       ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2023-02-16T15:41:35.028532Z ,           1 ,          2 ,     2 ,      0 ,9-Completed             ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-12-16T20:11:51.8213Z   ,           0 ,          4 ,     4 ,      1 ,3-Notification opened   ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-09-15T17:29:46.968219Z ,           1 ,          1 ,     1 ,      0 ,8-Submitted login       ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-08-30T16:29:23.642239Z ,           0 ,          0 ,     4 ,      1 ,2-Notification sent     ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-12-01T22:23:08.244646Z ,           0 ,          0 ,     1 ,      0 ,2-Notification sent     ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-10-07T15:05:12.74186Z  ,           0 ,          0 ,     4 ,      1 ,2-Notification sent     ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2023-03-29T15:55:33.406067Z ,           1 ,          1 ,     1 ,      0 ,9-Completed             ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2023-02-17T16:47:28.205154Z ,           1 ,          4 ,     4 ,      1 ,5-Widget loaded         ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-10-28T14:27:19.596959Z ,           1 ,          0 ,     1 ,      0 ,4-Notification click    ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-12-06T16:49:46.33432Z  ,           0 ,          0 ,     1 ,      0 ,2-Notification sent     ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-12-01T14:32:25.914311Z ,           1 ,          1 ,     1 ,      0 ,8-Submitted login       ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-10-18T14:38:08.137163Z ,           1 ,          1 ,     1 ,      0 ,9-Completed             ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-12-01T21:47:56.197918Z ,           0 ,          0 ,     1 ,      0 ,2-Notification sent     ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-10-28T21:30:56.582977Z ,           0 ,          1 ,     4 ,      1 ,3-Notification opened   ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-09-19T18:28:31.100759Z ,           0 ,          2 ,     4 ,      1 ,3-Notification opened   ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2023-03-27T20:48:03.757873Z ,           0 ,          1 ,     4 ,      1 ,3-Notification opened   ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-08-04T13:51:29.792514Z ,           0 ,          0 ,     1 ,      0 ,2-Notification sent     ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-08-23T17:32:10.180614Z ,           0 ,          0 ,     1 ,      0 ,2-Notification sent     ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2023-01-10T16:27:03.022874Z ,           1 ,          1 ,     1 ,      0 ,7-Viewed provider login ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-08-17T14:11:20.704683Z ,           1 ,          2 ,     4 ,      1 ,8-Submitted login       ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-07-25T14:44:16.720142Z ,           2 ,          4 ,     4 ,      1 ,8-Submitted login       ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2023-03-28T15:10:30.827082Z ,           0 ,          0 ,     1 ,      0 ,2-Notification sent     ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-12-01T21:52:59.810786Z ,           0 ,          4 ,     4 ,      1 ,3-Notification opened   ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2023-03-03T16:59:59.277157Z ,           2 ,          4 ,     4 ,      1 ,7-Viewed provider login ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2023-03-27T14:55:31.941223Z ,           1 ,          1 ,     1 ,      0 ,9-Completed             ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-08-16T21:21:04.64Z     ,           0 ,          0 ,     1 ,      0 ,2-Notification sent     ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-12-01T20:55:06.32534Z  ,           1 ,          1 ,     1 ,      0 ,9-Completed             ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-10-28T13:22:03.633184Z ,           1 ,          1 ,     1 ,      0 ,8-Submitted login       ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-08-22T16:05:24.920106Z ,           0 ,          3 ,     4 ,      1 ,3-Notification opened   ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2023-02-17T21:22:05.659822Z ,           0 ,          0 ,     4 ,      1 ,2-Notification sent     ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-08-26T19:00:40.973192Z ,           0 ,          0 ,     1 ,      0 ,2-Notification sent     ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2023-02-27T21:00:58.063272Z ,           2 ,          2 ,     2 ,      0 ,8-Submitted login       ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-09-07T19:35:46.552145Z ,           0 ,          0 ,     1 ,      0 ,2-Notification sent     ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-08-25T20:01:22.251908Z ,           1 ,          4 ,     4 ,      1 ,8-Submitted login       ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-08-17T18:17:47.714426Z ,           0 ,          2 ,     4 ,      1 ,3-Notification opened   ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-09-19T15:39:15.721913Z ,           1 ,          1 ,     1 ,      0 ,9-Completed             ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2023-02-24T22:27:37.538713Z ,           2 ,          4 ,     4 ,      1 ,7-Viewed provider login ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-08-02T15:37:50.646676Z ,           3 ,          4 ,     4 ,      1 ,8-Submitted login       ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-08-25T15:04:56.622478Z ,           0 ,          4 ,     4 ,      1 ,3-Notification opened   ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2023-02-08T14:48:20.812464Z ,           1 ,          4 ,     4 ,      1 ,8-Submitted login       ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-08-31T15:10:47.321871Z ,           1 ,          4 ,     4 ,      1 ,6-Employer selected     ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-10-20T13:27:57.575042Z ,           1 ,          1 ,     1 ,      0 ,8-Submitted login       ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2023-03-29T18:06:05.416495Z ,           0 ,          0 ,     1 ,      0 ,2-Notification sent     ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2023-03-23T19:55:29.397125Z ,           0 ,          0 ,     1 ,      0 ,2-Notification sent     ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-08-08T20:39:45.83287Z  ,           0 ,          1 ,     4 ,      1 ,3-Notification opened   ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-12-20T21:54:48.05724Z  ,           2 ,          4 ,     4 ,      1 ,8-Submitted login       ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-10-07T21:30:13.29687Z  ,           0 ,          2 ,     4 ,      1 ,3-Notification opened   ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-12-01T17:35:05.562131Z ,           1 ,          3 ,     3 ,      0 ,8-Submitted login       ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-12-28T17:30:59.628244Z ,           1 ,          4 ,     4 ,      1 ,5-Widget loaded         ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-09-30T21:51:17.985429Z ,           0 ,          0 ,     4 ,      1 ,2-Notification sent     ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-08-16T15:57:19.815614Z ,           1 ,          1 ,     4 ,      1 ,8-Submitted login       ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-12-12T22:09:49.134558Z ,           0 ,          0 ,       ,      1 ,1-Created               ,    ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,FALSE                ,FALSE
A             ,Unknown             ,2022-12-02T16:44:59.776842Z ,           0 ,          0 ,     1 ,      0 ,2-Notification sent     ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2023-02-24T15:04:13.83671Z  ,           2 ,          4 ,     4 ,      1 ,7-Viewed provider login ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-09-06T17:33:35.408535Z ,           1 ,          1 ,     4 ,      1 ,4-Notification click    ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-08-25T16:57:56.328171Z ,           0 ,          4 ,     4 ,      1 ,3-Notification opened   ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-11-28T20:30:48.984504Z ,           0 ,          1 ,     4 ,      1 ,3-Notification opened   ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2022-11-30T22:20:49.180717Z ,           0 ,          1 ,     4 ,      1 ,3-Notification opened   ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
A             ,Unknown             ,2023-03-20T18:26:43.562093Z ,           0 ,          0 ,       ,      1 ,1-Created               ,    ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,FALSE                ,FALSE
A             ,Unknown             ,2023-03-07T18:19:06.899767Z ,           1 ,          4 ,     4 ,      1 ,4-Notification click    ,  0 ,         0 ,        0 ,masked@order_manager.org                ,internal                               ,TRUE                 ,FALSE
